*Pick And Place List
*ArtikelNo=
*Revision=
*Company=
*Author=
*Tel=
*Fax=
*eMail=
*
*Project=BachelorThesis_V3.0
*ArticleNo=
*RevisionNo=
*Variant=<alle Bauteile>
*PCB=<alle Bauteile>
*Date=14. May 2016 15:04h
*CreatedBy=TARGET 3001! V16 professional 16.8.0.6
*Comment1=
*Comment2=
*Comment3=
*Comment4=
*Comment5=
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*PckOrigin=
*Rotation in degree (0-360, math. pos.)
*Selection=SMD only
*
*No,"Value/Spec/Package","X","Y","Rotation",Side,"Name"
83,"0//0603_klein","18.32","19.29","0.0",Bot,"R10"
84,"0//0603_klein","16.62","25.47","180.0",Bot,"R11"
85,"0//0805_0-OHM","15.10","11.62","0.0",Bot,"R12"
86,"10K//0603_klein","4.73","5.50","90.0",Bot,"R13"
87,"10K//0603_klein","8.54","5.50","90.0",Bot,"R14"
88,"200K//0603_klein","4.16","8.04","90.0",Bot,"R15"
89,"200K//0603_klein","9.25","8.50","270.0",Bot,"R16"
90,"560K//0603_klein","5.97","17.86","0.0",Bot,"R17"
91,"0//0603_klein","7.97","19.76","90.0",Bot,"R18"
92,"0//0603_klein","7.97","17.37","90.0",Bot,"R19"
93,"0//0603_klein","10.22","19.09","0.0",Bot,"R20"
94,"0//0603_klein","8.20","25.25","180.0",Bot,"R21"
95,"0//0805_0-OHM","6.77","11.47","0.0",Bot,"R22"
96,"0//0603_klein","22.96","14.21","270.0",Top,"R23"
97,"0//0603_klein","37.00","20.20","180.0",Top,"R24"
98,"0//0603_klein","23.07","7.91","270.0",Top,"R25"
99,"4.7K//0603_klein","43.02","8.21","270.0",Bot,"R26"
100,"0//0603_klein","43.71","22.22","0.0",Top,"R27"
101,"0//0603_KLEIN","41.17","22.22","0.0",Top,"R28"
102,"0//0603_klein","38.45","22.18","180.0",Top,"R29"
103,"0//0603_klein","1.96","17.28","270.0",Top,"R30"
104,"0//0603_klein","5.06","20.93","90.0",Top,"R34"
105,"0//0603_klein","5.03","17.29","90.0",Top,"R35"
106,"SPX3819//SOT-23 (5Pin)","28.71","11.94","90.0",Top,"U1"
107,"LP2985//SOT-23 (5Pin)","29.06","5.84","90.0",Top,"U2"
108,"LP2992//SOT-23 (5Pin)","34.96","14.17","0.0",Top,"U3"
